KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
bkiAntimatterThruster,Antimatter Thrusters are a revolution in propulsion technology that produce the highest thrust to weight presently possible.\nRadioactive particles from the ship's energy system are converted into antimatter using miniaturized particle accelerators and applied to waste gases in a reaction chamber to produce explosive thrust.,,,,,,,,"Двигатели на Антиматерии являются революцией в области технологий propulsion, которые производят наибольший тяга к весу возможно в настоящее время.\nРадиоактивные частицы из энергетической системы корабля преобразуются в антиматерию с помощью миниатюрных ускорителей частиц и применяются к отработанным газам в реакционной камере для производства взрывной тяги.",,,,,,,,
bkiWarpDriveSVT2,"An improvement over the standard Jump Drive that allows the drive greater calculation capabilities without increasing it's size, allowing a smaller craft the ability to initiate interstellar jumps within limitations.",,,,,,,,"Улучшение стандартного прыжкового двигателя, которое позволяет увеличить возможности расчета без увеличения его размеров, что дает более небольшому космическому кораблю возможность инициировать межзвездные переходы в пределах определенных ограничений.",,,,,,,,
bkiWarpDriveT2,Enhanced conductance coils and better processing speed allows this Advanced Warp Drive the ability to jump further with much greater efficiency than it's standard counterpart.,,,,,,,,"Улучшенные проводящие катушки и более высокая скорость обработки позволяют этому Продвинутому Варп Двигателю совершать прыжки на большие расстояния с гораздо большей эффективностью, чем его стандартный аналог.",,,,,,,,
bkiDeconstructor,"As the name suggests, the Deconstructor's purpose is to take blocks and devices and disassemble them at 100% efficiency into their components.\nIt is not capable of dismantling components into raw ingots though.",,,,,,,,"Как следует из названия, цель Деконструктора - принимать блоки и устройства и разбирать их с эффективностью 100% на составные части.\nОн не способен разбирать компоненты на сырые слитки, однако.",,,,,,,,
bkiFusionReactorSV,"A state-of-the-art miniaturized fusion powerplant that can supply more power than any smaller craft present can draw. Much like its larger counterparts, it's intended for active use and will divert a small portion of its output to sustain a fusion reaction.",,,,,,,,"Современный миниатюризированный термоядерный реактор, который может поставлять больше энергии, чем любое меньшее судно может потреблять. Как и его более крупные аналоги, он предназначен для активного использования и будет направлять небольшую часть своей мощности на поддержание термоядерной реакции.",,,,,,,,
bkiPlasmaTurbineT0,Plasma Turbines are used as secondary power generation to recycle the waste plasma from a ship's Generators or Fusion Reactor to produce additional power.\n[c][00FFFF]Plasma Turbines do not consume fuel\nEach active turbine improves fuel efficiency by reducing a ship's energy consumption[-][/c]\n[c][00FF00]Consumption: -200w.[-][/c],,,,,,,,"Плазменные турбины используются как вторичный источник генерации энергии для переработки отработанной плазмы из генераторов или фузионного реактора корабля для производства дополнительной мощности.\n[c][00FFFF]Плазменные турбины не потребляют топливо\nКаждый активный турбин улучшает топливную эффективность, снижая потребление энергии кораблем[-][/c]\n[c][00FF00]Потребление: -200вт.[-][/c]",,,,,,,,
bkiPlasmaTurbineT1,Plasma Turbines are used as secondary power generation to recycle the waste plasma from a ship's Generators or Fusion Reactor to produce additional power.\n[c][00FFFF]Plasma Turbines do not consume fuel\nEach active turbine improves fuel efficiency by reducing a ship's energy consumption[-][/c]\n[c][00FF00]Consumption: -600w.[-][/c],,,,,,,,"Плазменные турбины используются в качестве вторичного источника энергии для переработки отработанной плазмы с генераторов или ядерного реактора корабля, чтобы производить дополнительную энергию.\n[c][00FFFF]Плазменные турбины не потребляют топливо\nКаждая активная турбина улучшает топливную эффективность, уменьшая энергопотребление корабля[-][/c]\n[c][00FF00]Потребление: -600вт.[-][/c]",,,,,,,,
bkiPlasmaTurbineT2,Plasma Turbines are used as secondary power generation to recycle the waste plasma from a ship's Generators or Fusion Reactor to produce additional power.\n[c][00FFFF]Plasma Turbines do not consume fuel\nEach active turbine improves fuel efficiency by reducing a ship's energy consumption.[-][/c]\n[c][00FF00]Consumption: -1800w.[-][/c],,,,,,,,"Плазменные турбины используются как вторичный источник генерации энергии для переработки отходной плазмы из генераторов или фузионного реактора корабля для производства дополнительной энергии.\n[c][00FFFF]Плазменные турбины не потребляют топливо\nКаждый активный турбин улучшает топливную эффективность, снижая потребление энергии кораблем.[-][/c]\n[c][00FF00]Потребление: -1800вт.[-][/c]",,,,,,,,
bkiConstructorQuantum,"The Universal Constructor is the pinnacle of hi-tech production, able to produce virtually anything from experimental quantum technology to lifesaving medications. The drawback is that it's slow and energy-intensive, making it a poor substitute for an industrial processing chain.",,,,,,,,"Универсальный Конструктор — это вершина высокотехнологичного производства, способная создавать практически всё, от экспериментальной квантовой технологии до спасающих жизни медикаментов. Недостаток в том, что он медленный и энергоёмкий, что делает его плохой заменой промышленному производственному цеху.",,,,,,,,
bkiCPUExtender,"An auxillary processing unit that expands the functionality of the core's processing limit by a fixed amount, allowing more complex or numerous devices to be added.\n[c][00FF00]Adding more advanced CPU Extenders will provide additional processing power.[-][/c]\n[c][FF0000]Exceeding the CPU Limit will reduce the performance of your weapons, turrets, thrusters, generators and constructors.[-][/c]",,,,,,,,"Вспомогательная обработная единица, которая расширяет функциональность ядра обработки на фиксированную величину, позволяя добавлять более сложные или многочисленные устройства.\n[c][00FF00]Добавление более продвинутых CPU-расширений обеспечит дополнительную мощность обработки.[-][/c]\n[c][FF0000]Превышение лимита CPU приведет к снижению производительности ваших орудий, турелей, двигателей, генераторов и конструкторов.[-][/c]",,,,,,,,
bkiBrokenExtender,A backup processing unit that is presently offline.\n[c][FF0000]Non-Functional\nCan be salvaged for components[-][/c],,,,,,,,"Резервный процессор, который в настоящее время выключен.\n[c][FF0000]Неисправен\nМожет быть разобран на компоненты[-][/c]",,,,,,,,
CPUExtenderSVT5,CPU Extender (Superior),,,,,,,,ЦП Расширитель (Продвинутый),,,,,,,,
CPUExtenderHVT5,CPU Extender (Superior),,,,,,,,ЦП Расширитель (Продвинутый),,,,,,,,
CPUExtenderCVT5,CPU Extender (Superior),,,,,,,,ЦП Расширитель (Продвинутый),,,,,,,,
CPUExtenderBAT5,CPU Extender (Superior),,,,,,,,ЦП Расширитель (Продвинутый),,,,,,,,
CPUBrokenSVT4,[c][FF0000]Auxillary Processor (Disabled)[-][/c],,,,,,,,[c][FF0000]Вспомогательный процессор (отключен)[-][/c],,,,,,,,
CPUBrokenHVT4,[c][FF0000]Auxillary Processor (Disabled)[-][/c],,,,,,,,[c][FF0000]Вспомогательный процессор (отключен)[-][/c],,,,,,,,
CPUBrokenCVT4,[c][FF0000]Auxillary Processor (Disabled)[-][/c],,,,,,,,[c][FF0000]Вспомогательный процессор (отключен)[-][/c],,,,,,,,
CPUBrokenBAT4,[c][FF0000]Auxillary Processor (Disabled)[-][/c],,,,,,,,[c][FF0000]Вспомогательный процессор (отключен)[-][/c],,,,,,,,
BrokenTurretDome,[c][FF0000]Disabled Imperial Turret[-][/c],,,,,,,,[c][FF0000]Отключенная Имперская Башня[-][/c],,,,,,,,
BrokenTurretAlien,[c][FF0000]Disabled Enemy Turret[-][/c],,,,,,,,[c][FF0000]Отключённая Турель Врага[-][/c],,,,,,,,
BrokenTurretLegacy,[c][FF0000]Disabled Weapon Dome[-][/c],,,,,,,,[c][FF0000]Отключенный купол оружия[-][/c],,,,,,,,
BrokenDomeGenerator,[c][FF0000]Disabled Dome Shield Generator[-][/c],,,,,,,,[c][FF0000]Отключенный Куполовый Щит Генератор[-][/c],,,,,,,,
BrokenShieldGenerator,[c][FF0000]Disabled Heavy Shield Generator[-][/c],,,,,,,,[c][FF0000]Отключенный Генератор Тяжелого Щита[-][/c],,,,,,,,
WeaponSVTorpedoLauncherT3Blocks,Torpedo Launcher (Heavy),,,,,,,,Пусковая Установка Торпед (Тяжелая),,,,,,,,
WeaponSVLaserCannonT1Blocks,Laser Cannon (Light),,,,,,,,Лазерная пушка (лёгкая),,,,,,,,
WeaponSVLaserCannonT2Blocks,Laser Cannon (Medium),,,,,,,,Лазерная Пушка (Средняя),,,,,,,,
WeaponSVLaserCannonT3Blocks,Laser Cannon (Heavy),,,,,,,,Лазерная Пушка (Тяжелая),,,,,,,,
WeaponSVGatlingT1Blocks,Gatling Gun (Light),,,,,,,,Легкий пулемет Гатлинга,,,,,,,,
WeaponSVGatlingT2Blocks,Gatling Cannon (Medium),,,,,,,,Гатлинг-пушка (Средняя),,,,,,,,
WeaponSVGatlingT3Blocks,Vulcan Cannon (Heavy),,,,,,,,Вулкановая пушка (тяжелая),,,,,,,,
WeaponSVRailgunT1Blocks,Railgun (Light),,,,,,,,Рельсовая пушка (Лёгкая),,,,,,,,
WeaponSVRailgunT2Blocks,Railgun (Medium),,,,,,,,Железнодорожная пушка,,,,,,,,
WeaponSVRailgunT3Blocks,Railgun (Heavy),,,,,,,,Рельсовая пушка (Тяжелая),,,,,,,,
WeaponSVPlasmaT1Blocks,Plasma Cannon (Light),,,,,,,,Плазменная пушка (лёгкая),,,,,,,,
WeaponSVPlasmaT2Blocks,Plasma Cannon (Medium),,,,,,,,Плазменная Пушка (Средняя),,,,,,,,
WeaponSVPlasmaT3Blocks,Plasma Cannon (Heavy),,,,,,,,Плазменная пушка (тяжелая),,,,,,,,
WeaponHVCannonT1Blocks,30mm Cannon (Light),,,,,,,,30мм Пушка (Лёгкая),,,,,,,,
WeaponHVCannonT2Blocks,35mm Cannon (Medium),,,,,,,,35-мм Пушка (Средняя),,,,,,,,
WeaponHVCannonT3Blocks,120mm Cannon (Heavy),,,,,,,,120мм Пушка (Тяжелая),,,,,,,,
WeaponSVBombLauncherT2Blocks,Bomb Launchers (Medium),,,,,,,,Бомбометы (Средние),,,,,,,,
WeaponSVRocketLauncherT1Blocks,Rocket Launcher (Light),,,,,,,,Пусковая Установка (Лёгкая),,,,,,,,
WeaponSVRocketLauncherT2Blocks,Rocket Launcher (Medium),,,,,,,,Ракетная Установка (Средняя),,,,,,,,
WeaponSVRocketHomingT1Blocks,Homing Missile Launcher (Light),,,,,,,,Homing Missile Launcher (Легкий),,,,,,,,
WeaponSVRocketHomingT2Blocks,Homing Missile Launcher (Medium),,,,,,,,Пусковая Установка Самонаводящихся Ракет (Средняя),,,,,,,,
WeaponCVLaserCannonT1Blocks,Laser Cannon (Light),,,,,,,,Лазерная пушка (лёгкая),,,,,,,,
WeaponCVLaserCannonT2Blocks,Dual Laser Cannons (Medium),,,,,,,,Двойные лазерные пушки (средние),,,,,,,,
WeaponCVLaserCannonT3Blocks,Triple Laser Cannons (Heavy),,,,,,,,Трипл Лазерные Пушки (Тяжелые),,,,,,,,
WeaponCVRailgunT1Blocks,Railgun (Light),,,,,,,,Рельсовая пушка (Лёгкая),,,,,,,,
WeaponCVRailgunT2Blocks,Dual Railguns (Medium),,,,,,,,Двойные рельсотроны (Средний),,,,,,,,
WeaponCVRailgunT3Blocks,Triple Railguns (Heavy),,,,,,,,Тройные Рельсовые Пушки (Тяжелые),,,,,,,,
WeaponCVPlasmaT1Blocks,Plasma Cannon (Light),,,,,,,,Плазменная пушка (лёгкая),,,,,,,,
WeaponCVPlasmaT2Blocks,Dual Plasma Cannons (Medium),,,,,,,,Двойные плазменные пушки (средние),,,,,,,,
WeaponCVPlasmaT3Blocks,Triple Plasma Cannons (Heavy),,,,,,,,Тройные Плазменные Пушки (Тяжелые),,,,,,,,
WeaponCVHeavyCannonT1Blocks,Ship Cannon (Light),,,,,,,,Корабльная пушка (лёгкая),,,,,,,,
WeaponCVHeavyCannonT2Blocks,Dual Medium Cannons (Medium),,,,,,,,Двойные Средние Пушки (Средний),,,,,,,,
WeaponCVHeavyCannonT3Blocks,Triple Heavy Cannons (Heavy),,,,,,,,Тройные Тяжёлые Пушки (Тяжёлые),,,,,,,,
WeaponCVRocketLauncherT2Blocks,Missile Launcher (Medium),,,,,,,,Ракетная установка (средняя),,,,,,,,
WeaponCVRocketLauncherT3Blocks,Swarm Missile Launcher (Heavy),,,,,,,,Запускатель Роевого Ракетного Снаряда (Тяжелый),,,,,,,,
WeaponCVPositronT3Blocks,Positron Cannon (Heavy),,,,,,,,Позитронная Пушка (Тяжелая),,,,,,,,
WeaponSVTorpedoLauncherT3,Torpedo Launcher (Heavy),,,,,,,,Пусковая Установка Торпед (Тяжелая),,,,,,,,
WeaponSVBombLauncherT3,Bomb Launcher (Heavy),,,,,,,,Бомбомет (Тяжелый),,,,,,,,
WeaponSV03,Laser Cannon (Light),,,,,,,,Лазерная пушка (лёгкая),,,,,,,,
WeaponSVLaserT2,Laser Cannon (Medium),,,,,,,,Лазерная Пушка (Средняя),,,,,,,,
WeaponSVLaserT3,Hyperlaser Cannon (Heavy),,,,,,,,Гиперлазерная Пушка (Тяжёлая),,,,,,,,
WeaponSV02,Gatling Gun (Light),,,,,,,,Легкий пулемет Гатлинга,,,,,,,,
WeaponSVGatlingT2,Gatling Cannon (Medium),,,,,,,,Гатлинг-пушка (Средняя),,,,,,,,
WeaponSVGatlingT3,Vulcan Cannon (Heavy),,,,,,,,Вулкановая пушка (тяжелая),,,,,,,,
WeaponSV01,Railgun (Light),,,,,,,,Рельсовая пушка (Лёгкая),,,,,,,,
WeaponSVRailgunT2,Railgun (Medium),,,,,,,,Железнодорожная пушка,,,,,,,,
WeaponSVRailgunT3,Railgun (Heavy),,,,,,,,Рельсовая пушка (Тяжелая),,,,,,,,
WeaponSV04,Plasma Cannon (Light),,,,,,,,Плазменная пушка (лёгкая),,,,,,,,
WeaponSVPlasmaCannonT2,Plasma Cannon (Medium),,,,,,,,Плазменная Пушка (Средняя),,,,,,,,
WeaponSVPlasmaCannonT3,Plasma Cannon (Heavy),,,,,,,,Плазменная пушка (тяжелая),,,,,,,,
WeaponHVCannonT1,Light Cannon,,,,,,,,Световая Пушка,,,,,,,,
WeaponHVCannonT2,Medium Cannon,,,,,,,,Средняя Пушка,,,,,,,,
WeaponHVCannonT3,Heavy Cannon,,,,,,,,Тяжелая Пушка,,,,,,,,
WeaponHVFlamethrowerT2,Flamethrower Cannon (Medium),,,,,,,,Пламемёт-пушка (Средний),,,,,,,,
WeaponSVBombLauncherT2,Bomb Launcher (Medium),,,,,,,,Бомбомёт (Средний),,,,,,,,
WeaponSVBombLauncherEMPT2,EMP Bomb Launcher (Medium),,,,,,,,EMP Бомбомет (Средний),,,,,,,,
WeaponSV05,Rocket Launcher (Light),,,,,,,,Пусковая Установка (Лёгкая),,,,,,,,
WeaponSVRocketT2,Rocket Launcher Pod (Medium),,,,,,,,Ракетный Пусковой Узел (Средний),,,,,,,,
WeaponSVRocketT3,Rocket Launcher Pod (Heavy),,,,,,,,Ракетный Пусковой Контейнер (Тяжёлый),,,,,,,,
WeaponSV05Homing,Homing Missile Launcher (Light),,,,,,,,Homing Missile Launcher (Легкий),,,,,,,,
WeaponSVRocketHomingT2,Homing Missile Launcher (Medium),,,,,,,,Пусковая Установка Самонаводящихся Ракет (Средняя),,,,,,,,
WeaponSVRocketLauncherT1V2,Rocket Launcher Pod (Light),,,,,,,,Пусковой контейнер ракет (Лёгкий),,,,,,,,
WeaponMS02,Laser Cannon (Light),,,,,,,,Лазерная пушка (лёгкая),,,,,,,,
WeaponCVLaserCannonT2,Dual Laser Cannons (Medium),,,,,,,,Двойные лазерные пушки (средние),,,,,,,,
WeaponCVLaserCannonT3,Triple Laser Cannons (Heavy),,,,,,,,Трипл Лазерные Пушки (Тяжелые),,,,,,,,
WeaponCVRailgunT1,Railgun (Light),,,,,,,,Рельсовая пушка (Лёгкая),,,,,,,,
WeaponCVRailgunT2,Dual Railguns (Medium),,,,,,,,Двойные рельсотроны (Средний),,,,,,,,
WeaponCVRailgunT3,Triple Railguns (Heavy),,,,,,,,Тройные Рельсовые Пушки (Тяжелые),,,,,,,,
WeaponCVPlasmaT1,Plasma Cannon (Light),,,,,,,,Плазменная пушка (лёгкая),,,,,,,,
WeaponCVPlasmaT2,Dual Plasma Cannons (Medium),,,,,,,,Двойные плазменные пушки (средние),,,,,,,,
WeaponCVPlasmaT3,Triple Plasma Cannons (Heavy),,,,,,,,Тройные Плазменные Пушки (Тяжелые),,,,,,,,
WeaponMS01,Ship Cannon (Light),,,,,,,,Корабльная пушка (лёгкая),,,,,,,,
WeaponCVHeavyCannonT2,Dual Medium Cannons (Medium),,,,,,,,Двойные Средние Пушки (Средний),,,,,,,,
WeaponCVHeavyCannonT3,Triple Heavy Cannon (Heavy),,,,,,,,Тройная Тяжелая Пушка (Тяжелая),,,,,,,,
WeaponCVRocketLauncherT2,Missile Launcher (Medium),,,,,,,,Ракетная установка (средняя),,,,,,,,
WeaponCVRocketLauncherT3,Swarm Missile Launcher (Heavy),,,,,,,,Запускатель Роевого Ракетного Снаряда (Тяжелый),,,,,,,,
WeaponCVPositronT3,Positron Blaster Cannon (Heavy),,,,,,,,Позитронный Бластер Пушка (Тяжелый),,,,,,,,
WeaponCVHeavyCannonT2V2,Multi-Barreled Cannon (Medium),,,,,,,,Многозарядная Пушка (Средняя),,,,,,,,
WeaponCVHeavyCannonT3V2,Multi-Barreled Cannon (Heavy),,,,,,,,Многозарядная пушка (Тяжёлая),,,,,,,,
WeaponCVPlasmaT2V2,Multi-Barreled Plasma Cannon (Medium),,,,,,,,Многоствольная Плазменная Пушка (Средняя),,,,,,,,
WeaponCVPlasmaT3V2,Main Plasma Battery (Heavy),,,,,,,,Главный Плазменный Аккумулятор (Тяжёлый),,,,,,,,
WeaponCVRailgunT2V2,Multi-Barreled Railgun (Medium),,,,,,,,Многоствольная Рельсовая Пушка (Средняя),,,,,,,,
WeaponCVRailgunT3V2,Main Railgun Battery (Heavy),,,,,,,,Главная Железнодорожная Пушка (Тяжёлая),,,,,,,,
WeaponCVLaserCannonT2V2,Multi-Barreled Laser Cannon (Medium),,,,,,,,Многоствольная Лазерная Пушка (Средняя),,,,,,,,
WeaponCVLaserCannonT3V2,Quad-Laser Battery (Heavy),,,,,,,,Четырёхлазерная батарея (тяжёлая),,,,,,,,
CannonHVWeaponT1,30mm Light Cannon,,,,,,,,30мм Легкая Пушка,,,,,,,,
CannonHVWeaponT2,35mm Medium Cannon,,,,,,,,35мм Средняя Пушка,,,,,,,,
CannonHVWeaponT3,120mm Heavy Cannon,,,,,,,,120мм Тяжелая Пушка,,,,,,,,
GatlingSVWeaponT2,20mm Medium Gatling,,,,,,,,20мм Средний Гатлинг,,,,,,,,
GatlingSVWeaponT3,30mm Heavy Vulcan,,,,,,,,30мм Тяжелый Вулкан,,,,,,,,
RocketLauncherSVWeaponT2,Medium Rocket Launcher,,,,,,,,Средний Ракетный Пусковик,,,,,,,,
RocketLauncherSVHomingWeaponT2,Medium Hellfire Missile Launcher,,,,,,,,Средний Пусковой Устройство Ракеты Hellfire,,,,,,,,
BombLauncherSVWeaponT2,Medium Bomb Launcher,,,,,,,,Средний Бомбомёт,,,,,,,,
WeaponSVEMPBombLauncherT2,Medium EMP Bomb Launcher,,,,,,,,Средний запускник бомб ЭМИ,,,,,,,,
BombLauncherSVWeaponT3,Heavy Bomb Launcher,,,,,,,,Тяжелый бомбомет,,,,,,,,
RocketLauncherSVWeaponT3,Heavy Rocket Launcher,,,,,,,,Тяжелый Пусковой Устройство Ракеты,,,,,,,,
TorpedoLauncherSVWeaponT3,Heavy Torpedo Launcher,,,,,,,,Тяжелый Торпедный Пуск,,,,,,,,
LaserCannonSVWeaponT2,Medium Laser Cannon,,,,,,,,Средняя лазерная пушка,,,,,,,,
LaserCannonSVWeaponT3,Heavy Laser Cannon,,,,,,,,Тяжелая Лазерная Пушка,,,,,,,,
PlasmaCannonSVWeaponT2,Medium Plasma Cannon,,,,,,,,Средний плазменный пушка,,,,,,,,
PlasmaCannonSVWeaponT3,Heavy Plasma Cannon,,,,,,,,Тяжелая плазменная пушка,,,,,,,,
RailgunSVWeaponT2,Medium Railgun,,,,,,,,Средний Рельсовый Пушкой,,,,,,,,
RailgunSVWeaponT3,Heavy Railgun,,,,,,,,Тяжелый рельсотрон,,,,,,,,
FlamethrowerHVWeaponT2,Flamethrower,,,,,,,,Пламемет,,,,,,,,
CannonCVT1Weapon,100mm Light Cannon,,,,,,,,100мм Легкая Пушка,,,,,,,,
CannonCVT2Weapon,127mm Medium Cannon,,,,,,,,127мм Средняя Пушка,,,,,,,,
CannonCVT3Weapon,155mm Heavy Cannon,,,,,,,,155-мм Тяжелая Пушка,,,,,,,,
LaserCVT1Weapon,Light Laser Cannon,,,,,,,,"Легкий Лазерный Пушечный снаряд не указан в глоссарии, но перевод слова ""Light"" - ""Легкий"", ""Laser"" - ""Лазерный"", ""Cannon"" можно перевести как ""Пушка"" или ""Пушечный"". Поэтому наиболее подходящий перевод будет: Легкая Лазерная Пушка.",,,,,,,,
LaserCVT2Weapon,Medium Laser Cannon,,,,,,,,Средняя лазерная пушка,,,,,,,,
LaserCVT3Weapon,Heavy Laser Cannon,,,,,,,,Тяжелая Лазерная Пушка,,,,,,,,
RocketLauncherCVT2Weapon,Medium Missile Launcher,,,,,,,,Средний Пусковая Установка Ракета,,,,,,,,
RocketLauncherCVT3Weapon,Heavy Missile Launcher,,,,,,,,Тяжелый Пусковой Установка Ракет,,,,,,,,
PlasmaCVT1Weapon,Light Plasma Cannon,,,,,,,,Световая плазменная пушка,,,,,,,,
PlasmaCVT2Weapon,Medium Plasma Cannon,,,,,,,,Средний плазменный пушка,,,,,,,,
PlasmaCVT3Weapon,Heavy Plasma Cannon,,,,,,,,Тяжелая плазменная пушка,,,,,,,,
RailgunCVT1Weapon,Light Railgun,,,,,,,,Световой рельсотрон,,,,,,,,
RailgunCVT2Weapon,Medium Railgun,,,,,,,,Средний Рельсовый Пушкой,,,,,,,,
RailgunCVT3Weapon,Heavy Railgun,,,,,,,,Тяжелый рельсотрон,,,,,,,,
PositronCVT3Weapon,Heavy Positron Cannon,,,,,,,,Тяжелая Позитронная Пушка,,,,,,,,
TurretBAPlasmaWeaponT3,Heavy Plasma Cannon,,,,,,,,Тяжелая плазменная пушка,,,,,,,,
TurretBAPositronWeaponT3,Heavy Positron Cannon,,,,,,,,Тяжелая Позитронная Пушка,,,,,,,,
TurretBAPlasmaArtilleryWeapon,Plasma Artillery Turret,,,,,,,,Плазменная артиллерийская башня,,,,,,,,
TurretMSPlasmaArtilleryWeapon,Plasma Artillery Turret,,,,,,,,Плазменная артиллерийская башня,,,,,,,,
TurretBAPlasmaArtillery,Plasma Artillery Turret,,,,,,,,Плазменная артиллерийская башня,,,,,,,,
TurretMSPlasmaArtillery,Plasma Artillery Turret,,,,,,,,Плазменная артиллерийская башня,,,,,,,,
TurretBAPlasmaArtilleryRetract,Retractable Plasma Artillery Turret,,,,,,,,Откидная Турель Плазменной Артиллерии,,,,,,,,
TurretMSPlasmaArtilleryRetract,Retractable Plasma Artillery Turret,,,,,,,,Откидная Турель Плазменной Артиллерии,,,,,,,,
TurretGVCannonWeapon,Light Cannon Turret,,,,,,,,Световая пушка,,,,,,,,
TurretGVCannonT2Weapon,Medium Cannon Turret,,,,,,,,Средняя Турельная Пушка,,,,,,,,
TeleporterBAT2,Advanced Teleporter,,,,,,,,Передовой Телепортер,,,,,,,,
TeleporterBAT3,[c][F300FF]Quantum Teleporter[-][/c],,,,,,,,Квантовый Телепортер,,,,,,,,
TeleporterCVT2,Enhanced Teleporter,,,,,,,,Улучшенный Телепортатор,,,,,,,,
RemoteConnectionT2,Enhanced Matter Transceiver,,,,,,,,Усиленный Маттер Трансивер,,,,,,,,
RemoteConnectionT3,[c][F300FF]Quantum Matter Transceiver[-][/c],,,,,,,,[c][F300FF]Квантовый Передатчик Материи[-][/c],,,,,,,,
ThrusterSVRoundSlantT2,Sloped Medium Plasma Thruster,,,,,,,,Наклонный Средний Плазменный Двигатель,,,,,,,,
ThrusterSVRoundArmoredT2,Enclosed Medium Plasma Thruster,,,,,,,,Закрытый средний плазменный двигатель,,,,,,,,
ThrusterSVRoundT2Blocks,Medium Plasma Thrusters,,,,,,,,Средние Плазменные Двигатели,,,,,,,,
ThrusterSVSmallT2,Small Plasma Thruster (SV),,,,,,,,Малый плазменный двигатель (SV),,,,,,,,
ThrusterSVSmallT3,Small Antimatter Thruster (SV),,,,,,,,Малый Двигатель на Антиматерии (МС),,,,,,,,
ThrusterSVMediumT3,Medium Antimatter Thruster,,,,,,,,Средний антиматерийный двигатель,,,,,,,,
ThrusterSVMediumT3Armored,Medium Antimatter Thruster (Enclosed),,,,,,,,Средний Двигатель на Антиматерии (Обшитый),,,,,,,,
ThrusterSVMediumT3Sloped,Medium Antimatter Thruster (Sloped),,,,,,,,Средний антиматерийный двигатель (наклонный),,,,,,,,
ThrusterSVMediumT3Blocks,Medium Antimatter Thrusters (SV),,,,,,,,Средние Двигатели на Антиматерии (МС),,,,,,,,
ThrusterSVLargeT3,Large Antimatter Thruster (SV),,,,,,,,Большой Антиматерный Толкатель (СВ),,,,,,,,
ThrusterSV1x3JetT2,Small Plasma Jet Thruster (SV),,,,,,,,Малый Плазменный Реактивный Двигатель (МС),,,,,,,,
ThrusterSV1x3JetT3,Small Antimatter Jet Thruster (SV),,,,,,,,Малый Двигатель Привода Антивещества (СВ),,,,,,,,
ThrusterSV2x5JetT2,Medium Plasma Jet Thruster (SV),,,,,,,,Средний Плазменный Реактивный Двигатель (МС),,,,,,,,
ThrusterSV2x5JetT3,Medium Antimatter Jet Thruster (SV),,,,,,,,Средний Противоматерийный Реактивный Двигатель (СВ),,,,,,,,
ThrusterSV3x7JetT2,Large Plasma Jet Thruster (SV),,,,,,,,Большой плазменный реактивный двигатель (МС),,,,,,,,
ThrusterSV3x7JetT3,Large Antimatter Jet Thruster (SV),,,,,,,,Большой Тяга Ракетного Двигателя Антиматерии (СВ),,,,,,,,
ThrusterSV3x10JetT2,Improved Plasma Jet Thruster (SV),,,,,,,,Улучшенный Плазменный Реактивный Двигатель (МС),,,,,,,,
ThrusterSV3x10JetT3,Improved Antimatter Jet Thruster (SV),,,,,,,,Улучшенный Противоматерный Ракетный Привод (SV),,,,,,,,
ThrusterSV3x13JetT2,Advanced Plasma Jet Thruster (SV),,,,,,,,Продвинутый Плазменный Реактивный Двигатель (МС),,,,,,,,
ThrusterSV3x13JetT3,Advanced Antimatter Jet Thruster (SV),,,,,,,,Передовой Противоматерийный Ракетный Тяга (СВ),,,,,,,,
ThrusterGVSmallT2,Small Plasma Thruster (HV),,,,,,,,Малый Плазменный Двигатель (ПС),,,,,,,,
ThrusterGVSmallT3,Small Antimatter Thruster (HV),,,,,,,,Малый Двигатель Антиматерии (HV),,,,,,,,
ThrusterGVRoundArmoredT2,Medium Plasma Thruster (Enclosed),,,,,,,,Средний Плазменный Двигатель (Обшитый),,,,,,,,
ThrusterGVRoundSlantT2,Medium Plasma Thruster (Sloped),,,,,,,,Средний плазменный двигатель (наклонный),,,,,,,,
ThrusterGVRoundT2Blocks,Medium Plasma Thrusters (HV),,,,,,,,Средние Плазменные Двигатели (ПС),,,,,,,,
ThrusterGVMediumT3,Medium Antimatter Thruster,,,,,,,,Средний антиматерийный двигатель,,,,,,,,
ThrusterGVMediumT3Armored,Medium Antimatter Thruster (Enclosed),,,,,,,,Средний Двигатель на Антиматерии (Обшитый),,,,,,,,
ThrusterGVMediumT3Sloped,Medium Antimatter Thruster (Sloped),,,,,,,,Средний антиматерийный двигатель (наклонный),,,,,,,,
ThrusterGVMediumT3Blocks,Medium Antimatter Thrusters (HV),,,,,,,,Средние Двигатели на Антиматерии (ПС),,,,,,,,
ThrusterGVLargeT3,Large Antimatter Thruster (HV),,,,,,,,Большой Трустер Антиматерии (HV),,,,,,,,
ThrusterGV1x3JetT2,Small Plasma Turbo-Thruster (HV),,,,,,,,Малый Плазменный Турбо-Реактивный Двигатель (ПС),,,,,,,,
ThrusterGV1x3JetT3,Small Antimatter Turbo-Thruster (HV),,,,,,,,Малый Турбо-Тяга Антиматерии (HV),,,,,,,,
